amazon_brand,answered_questions,amazons_choice,average_rating,best_seller_category,best_seller_rank,climate_friendly,coupon_percent,department,discount_percent,fakespot_ranking,free_prime_shipping,free_returns,limited_stock,log_unit_price,negative_log_best_seller_rank,new_seller,number_of_ratings,product_department,return_within_days,scaled_relevance_score,search_id,search_rank,ships_from_amazon,small_business,sold_by_amazon,sponsored,standard_shipping_date_range,standard_shipping_expected_date,subscribe_coupon,subscription_available,unit,unit_price,one_star_percent,two_star_percent,three_star_percent,four_star_percent,five_star_percent
FALSE,7,FALSE,4.9,Grocery & Gourmet Food,62,FALSE,0,All Departments,0,4,TRUE,FALSE,TRUE,-1.6607312068216509,-11.331871104943202,FALSE,65,grocery,0,-0.30421094093703543,All Departments-00 flour,41,TRUE,FALSE,FALSE,FALSE,0,2023-05-22,FALSE,TRUE,Ounce,0.19,0,0,0,6,4
FALSE,75,TRUE,4.7,Grocery & Gourmet Food,22,FALSE,0,All Departments,0,1,TRUE,FALSE,FALSE,-0.7339691750802004,-7.92588031673756,TRUE,2338,grocery,0,-0.2514929152822939,All Departments-00 flour,42,TRUE,FALSE,FALSE,FALSE,0,2023-05-22,FALSE,TRUE,Ounce,0.48,4,1,3,8,3
FALSE,8,FALSE,4.7,Grocery & Gourmet Food,64,FALSE,0,All Departments,0,4,TRUE,FALSE,TRUE,-1.7147984280919266,-11.778338922075076,FALSE,131,grocery,0,-0.20549434174687284,All Departments-00 flour,43,FALSE,FALSE,FALSE,FALSE,5,2023-05-21,FALSE,FALSE,Ounce,0.18,5,0,2,6,6
FALSE,0,FALSE,4.6,Home & Kitchen,57,FALSE,0.05,All Departments,0,5,TRUE,TRUE,FALSE,2.9439125248241944,-11.979905778599564,TRUE,154,sdp_misc,30,1.700112832095306,All Departments-african american wall art,1,TRUE,FALSE,FALSE,FALSE,0,2023-05-22,FALSE,FALSE,Purchase,18.99,2,2,5,6,5
FALSE,4,FALSE,4.7,Home & Kitchen,46,FALSE,0.06,All Departments,0,5,TRUE,TRUE,FALSE,3.3669509429335642,-10.269934593623564,FALSE,1521,sdp_misc,30,1.8191181276962138,All Departments-african american wall art,2,TRUE,FALSE,FALSE,FALSE,0,2023-05-22,FALSE,FALSE,Purchase,28.99,1,1,3,1,3
FALSE,0,FALSE,4.6,Home & Kitchen,61,FALSE,0,All Departments,0.05637982195845693,1,TRUE,TRUE,FALSE,2.8243506567983707,-12.715504298169707,FALSE,231,sdp_misc,30,1.959647634791546,All Departments-african american wall art,3,TRUE,FALSE,FALSE,FALSE,0,2023-05-22,FALSE,FALSE,Purchase,16.85,3,2,5,2,9
FALSE,7,FALSE,4.4,Home & Kitchen,59,FALSE,0,All Departments,0.17657445556209536,4,TRUE,TRUE,FALSE,2.8326249356838407,-12.664152341399882,FALSE,194,sdp_misc,30,2.0282825342532442,All Departments-african american wall art,4,TRUE,FALSE,FALSE,FALSE,0,2023-05-22,FALSE,FALSE,Purchase,16.99,6,3,8,2,2
FALSE,49,TRUE,4.7,Automotive,28,FALSE,0,All Departments,0,5,TRUE,FALSE,TRUE,6.956545443151569,-11.140019507921078,TRUE,115,automotive,30,0.8393278138741042,All Departments-automotive wheels,1,FALSE,FALSE,FALSE,FALSE,3,2023-05-21,FALSE,FALSE,Purchase,1050,4,2,0,3,1
FALSE,0,FALSE,4.6,Automotive,30,FALSE,0,All Departments,0,3,TRUE,FALSE,FALSE,6.244225151394314,-12.233838579407372,TRUE,55,lawn_and_garden,30,0.13458920557531476,All Departments-automotive wheels,2,FALSE,TRUE,FALSE,FALSE,0,2023-05-22,FALSE,FALSE,Purchase,515.03,5,0,5,9,0
FALSE,1000,FALSE,4.3,Automotive,4,FALSE,0,All Departments,0,5,TRUE,TRUE,FALSE,4.248352374701448,-6.317164686747284,TRUE,25413,automotive,30,0.9181746955577631,All Departments-automotive wheels,3,TRUE,FALSE,TRUE,FALSE,0,2023-05-22,FALSE,FALSE,Purchase,69.99,8,3,6,3,9
